case,miss,miss_rate,policy,size
case_1.txt,200,1.0,LRUCache,1
case_1.txt,200,1.0,LRUCache,2
case_1.txt,200,1.0,LRUCache,3
case_1.txt,200,1.0,LRUCache,4
case_1.txt,200,1.0,LRUCache,5
case_1.txt,200,1.0,LRUCache,6
case_1.txt,200,1.0,LRUCache,7
case_1.txt,200,1.0,LRUCache,8
case_1.txt,200,1.0,LRUCache,9
case_1.txt,200,1.0,LRUCache,10
case_1.txt,200,1.0,LRUCache,11
case_1.txt,200,1.0,LRUCache,12
case_1.txt,200,1.0,LRUCache,13
case_1.txt,200,1.0,LRUCache,14
case_1.txt,15,0.075,LRUCache,15
case_1.txt,15,0.075,LRUCache,16
case_1.txt,15,0.075,LRUCache,17
case_1.txt,15,0.075,LRUCache,18
case_1.txt,15,0.075,LRUCache,19
case_1.txt,15,0.075,LRUCache,20
case_1.txt,15,0.075,LRUCache,21
case_1.txt,15,0.075,LRUCache,22
case_1.txt,15,0.075,LRUCache,23
case_1.txt,15,0.075,LRUCache,24
case_1.txt,15,0.075,LRUCache,25
case_1.txt,15,0.075,LRUCache,26
case_1.txt,15,0.075,LRUCache,27
case_1.txt,15,0.075,LRUCache,28
case_1.txt,15,0.075,LRUCache,29
case_1.txt,15,0.075,LRUCache,30
case_1.txt,200,1.0,FIFOCache,1
case_1.txt,200,1.0,FIFOCache,2
case_1.txt,200,1.0,FIFOCache,3
case_1.txt,200,1.0,FIFOCache,4
case_1.txt,200,1.0,FIFOCache,5
case_1.txt,200,1.0,FIFOCache,6
case_1.txt,200,1.0,FIFOCache,7
case_1.txt,200,1.0,FIFOCache,8
case_1.txt,200,1.0,FIFOCache,9
case_1.txt,200,1.0,FIFOCache,10
case_1.txt,200,1.0,FIFOCache,11
case_1.txt,200,1.0,FIFOCache,12
case_1.txt,200,1.0,FIFOCache,13
case_1.txt,200,1.0,FIFOCache,14
case_1.txt,15,0.075,FIFOCache,15
case_1.txt,15,0.075,FIFOCache,16
case_1.txt,15,0.075,FIFOCache,17
case_1.txt,15,0.075,FIFOCache,18
case_1.txt,15,0.075,FIFOCache,19
case_1.txt,15,0.075,FIFOCache,20
case_1.txt,15,0.075,FIFOCache,21
case_1.txt,15,0.075,FIFOCache,22
case_1.txt,15,0.075,FIFOCache,23
case_1.txt,15,0.075,FIFOCache,24
case_1.txt,15,0.075,FIFOCache,25
case_1.txt,15,0.075,FIFOCache,26
case_1.txt,15,0.075,FIFOCache,27
case_1.txt,15,0.075,FIFOCache,28
case_1.txt,15,0.075,FIFOCache,29
